query,sqlPlan
select * from student s join attendance a on s.studentID = a.studentID where s.race = 'Black or African American';,"# 1: Clustered Index Scan((attendance AS a),  WHERE:(PROBE(attendanceDB.dbo.attendance.studentID as a.studentID))) # 2: Clustered Index Scan((student AS s),  WHERE:(attendanceDB.dbo.student.race as s.race='Black or African American')) # 3: Hash Match(Inner Join, HASH:(s.studentID)=(a.studentID))"
"select s.isFemale, s.isHispanic, s.raceCode, st.housingCode, st.gradeLvl, st.credits, st.tensOfHoursWorked, a.distanceToFront, a.seatColumn, a.statusCode, sn.finalGradeCode, sn.finalGrade from attendance a join student s on a.studentID = s.studentID  join studentTerm st on s.studentID = st.studentID join studentSection sn on s.studentID = sn.studentID and sn.termID = st.termID join section n on sn.sectionID = n.sectionID join event e on n.sectionID = e.sectionID and e.eventID = a.eventID join course c on n.courseID = c.courseID where c.departmentID != 'NRSG' and c.departmentID != 'PEAC';","# 1: Clustered Index Scan((attendance AS a),  WHERE:(PROBE(attendanceDB.dbo.attendance.eventID as a.eventID))) # 2: Clustered Index Scan((event AS e),  WHERE:(PROBE(attendanceDB.dbo.event.sectionID as e.sectionID))) # 3: Clustered Index Scan(section AS n) # 4: Clustered Index Scan((course AS c),  WHERE:(attendanceDB.dbo.course.departmentID as c.departmentID<>'NRSG' AND attendanceDB.dbo.course.departmentID as c.departmentID<>'PEAC')) # 5: Hash Match(Inner Join, HASH:(c.courseID)=(n.courseID)) # 6: Hash Match(Inner Join, HASH:(n.sectionID)=(e.sectionID)) # 7: Hash Match(Inner Join, HASH:(e.eventID)=(a.eventID)) # 8: Filter(WHERE:(PROBE(attendanceDB.dbo.event.sectionID as e.sectionID,attendanceDB.dbo.attendance.studentID as a.studentID))) # 9: Clustered Index Scan(studentSection AS sn) # 10: Hash Match(Inner Join, HASH:(sn.sectionID, sn.studentID)=(e.sectionID, a.studentID)) # 11: Clustered Index Scan(studentTerm AS st) # 12: Hash Match(Inner Join, HASH:(st.studentID, st.termID)=(sn.studentID, sn.termID), RESIDUAL:(attendanceDB.dbo.studentTerm.studentID as st.studentID=attendanceDB.dbo.studentSection.studentID as sn.studentID AND attendanceDB.dbo.studentSection.termID as sn.termID=attendanceDB.dbo.studentTerm.termID as st.termID)) # 13: Clustered Index Scan(student AS s) # 14: Hash Match(Inner Join, HASH:(s.studentID)=(sn.studentID))"
select distinct t.startDate from term t join studentSection ss on t.termID = ss.termID where noAttenceFlag = 'False';,"# 1: Clustered Index Seek((term AS t), SEEK:(t.termID=attendanceDB.dbo.studentSection.termID as ss.termID) ORDERED FORWARD) # 2: Clustered Index Scan((studentSection AS ss), WHERE:(attendanceDB.dbo.studentSection.noAttenceFlag as ss.noAttenceFlag='False')) # 3: Hash Match(Aggregate, HASH:(ss.termID), RESIDUAL:(attendanceDB.dbo.studentSection.termID as ss.termID = attendanceDB.dbo.studentSection.termID as ss.termID)) # 4: Nested Loops(Inner Join, OUTER REFERENCES:(ss.termID)) # 5: Sort(DISTINCT ORDER BY:(t.startDate ASC))"
"select s.gender, s.raceCode, s.standardTestScore from student s join studentSection ss on s.studentID = ss.studentID where ss.midtermGrade = 'F' and ss.finalGrade = 'A';","# 1: Clustered Index Scan((studentSection AS ss), WHERE:(attendanceDB.dbo.studentSection.midtermGrade as ss.midtermGrade='F' AND attendanceDB.dbo.studentSection.finalGrade as ss.finalGrade='A')) # 2: Sort(ORDER BY:(ss.studentID ASC)) # 3: Clustered Index Scan((student AS s), ORDERED FORWARD) # 4: Merge Join(Inner Join, MERGE:(s.studentID)=(ss.studentID), RESIDUAL:(attendanceDB.dbo.studentSection.studentID as ss.studentID=attendanceDB.dbo.student.studentID as s.studentID))"
"select s.gender, s.raceCode, s.standardTestScore from student s join studentSection ss on s.studentID = ss.studentID where ss.midtermGrade = 'D' and ss.finalGrade = 'B';","# 1: Clustered Index Scan((studentSection AS ss), WHERE:(attendanceDB.dbo.studentSection.midtermGrade as ss.midtermGrade='D' AND attendanceDB.dbo.studentSection.finalGrade as ss.finalGrade='B')) # 2: Sort(ORDER BY:(ss.studentID ASC)) # 3: Clustered Index Scan((student AS s), ORDERED FORWARD) # 4: Merge Join(Inner Join, MERGE:(s.studentID)=(ss.studentID), RESIDUAL:(attendanceDB.dbo.studentSection.studentID as ss.studentID=attendanceDB.dbo.student.studentID as s.studentID))"
select * from department;,# 1: Clustered Index Scan(department)
select p.professorName from professor p join section s on p.professorID = s.professorID join course c on s.courseID = c.courseID join department d on c.departmentID = d.departmentID where d.departmentName = 'Computing' or d.departmentName = 'Physics';,"# 1: Clustered Index Seek((professor AS p), SEEK:(p.professorID=attendanceDB.dbo.section.professorID as s.professorID) ORDERED FORWARD) # 2: Clustered Index Scan(section AS s) # 3: Clustered Index Seek((department AS d), SEEK:(d.departmentID=attendanceDB.dbo.course.departmentID as c.departmentID),  WHERE:(attendanceDB.dbo.department.departmentName as d.departmentName='Computing' OR attendanceDB.dbo.department.departmentName as d.departmentName='Physics') ORDERED FORWARD) # 4: Clustered Index Scan(course AS c) # 5: Nested Loops(Inner Join, OUTER REFERENCES:(c.departmentID)) # 6: Hash Match(Inner Join, HASH:(c.courseID)=(s.courseID)) # 7: Nested Loops(Inner Join, OUTER REFERENCES:(s.professorID))"
select avg(c.credits) as 'creditAverage' from course c;,"# 1: Clustered Index Scan(course AS c) # 2: Stream Aggregate(DEFINE:(Expr1002=Count(*), Expr1003=SUM(attendanceDB.dbo.course.credits as c.credits))) # 3: Compute Scalar(DEFINE:(Expr1001=CASE WHEN Expr1002=(0) THEN NULL ELSE Expr1003/CONVERT_IMPLICIT(int,Expr1002,0) END))"
"select d.departmentName, avg(c.credits) as 'creditAverage' from course c join department d on c.departmentID = d.departmentID group by d.departmentName;","# 1: Clustered Index Scan(course AS c) # 2: Clustered Index Scan(department AS d) # 3: Sort(ORDER BY:(d.departmentName ASC)) # 4: Nested Loops(Inner Join, WHERE:(attendanceDB.dbo.department.departmentID as d.departmentID=attendanceDB.dbo.course.departmentID as c.departmentID)) # 5: Stream Aggregate(GROUP BY:(d.departmentName) DEFINE:(Expr1007=Count(*), Expr1008=SUM(attendanceDB.dbo.course.credits as c.credits))) # 6: Compute Scalar(DEFINE:(Expr1002=CASE WHEN Expr1007=(0) THEN NULL ELSE Expr1008/CONVERT_IMPLICIT(int,Expr1007,0) END))"
select avg(c.credits) as 'creditAverage' from section se join course c on se.courseID = c.courseID;,"# 1: Clustered Index Scan(section AS se) # 2: Sort(ORDER BY:(se.courseID ASC)) # 3: Clustered Index Scan((course AS c), ORDERED FORWARD) # 4: Merge Join(Inner Join, MERGE:(c.courseID)=(se.courseID), RESIDUAL:(attendanceDB.dbo.course.courseID as c.courseID=attendanceDB.dbo.section.courseID as se.courseID)) # 5: Stream Aggregate(DEFINE:(Expr1007=Count(*), Expr1008=SUM(attendanceDB.dbo.course.credits as c.credits))) # 6: Compute Scalar(DEFINE:(Expr1002=CASE WHEN Expr1007=(0) THEN NULL ELSE Expr1008/CONVERT_IMPLICIT(int,Expr1007,0) END))"
